CAS;Tipo_olor;Descriptor_1;Descriptor_2;Fuerza_Olor;Clacificacion;Presion_vapor;Area;Fuerza;smiles;nomenclature;Molecule
515-13-9;ND;dulce;0;medio;sustancia natural;0.031;0.0392;0.3;CC(=C)C1CCC(C)(C=C)C(C1)C(C)=C;1-ethenyl-1-methyl-2,4-di(prop-1-en-2-yl)cyclohexane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
121-33-5;vainilla;cremoso;dulce;medio;aromatizante;0.002;1.7142;0.3;COc1cc(C=O)ccc1O;4-Hydroxy-3-methoxybenzaldehyde;"<img data-content=""rdkit/molecule"" src=""data:image/png"
2142-79-2;ND;0;0;0;0;0;0.3611;0.1;CC(=O)c1c(C)c(C)cc(C)c1C;1-(2,3,5,6-tetramethylphenyl)ethanone;"<img data-content=""rdkit/molecule"" src=""data:image/png"
87-44-5;ND;0;0;0;0;0;0.06;0.1;C\C1=C/CCC(=C)[C@H]2CC(C)(C)[C@@H]2CC1;(1R,4E,9S)-4,11,11-trimethyl-8-methylidenebicyclo[7.2.0]undec-4-ene;"<img data-content=""rdkit/molecule"" src=""data:image/png"
001461-03-6;ND;0;0;0;0;0;0.26;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
56805-24-4;ND;0;0;0;0;0;0.0921;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
614-60-8;ND;0;0;0;antioxidante;1.90E-05;0.5743;0.1;OC(=O)/C=C/c1ccccc1O;['(E)-3-(2-hydroxyphenyl)prop-2-enoic acid', '3-(2-hydroxyphenyl)prop-2-enoic acid'];"<img data-content=""rdkit/molecule"" src=""data:image/png"
91-64-5;tonka;heno;dulce;medio;aromatizante;0.1;0.572;0.3;O=C1Oc2ccccc2C=C1;chromen-2-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
20085-93-2;ND;0;0;0;sustancia natural;0.034;0.1292;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
121-32-4;vainilla;dulce;cremoso;medio;aromatizante;0.001;1.3858;0.3;CCOc1cc(C=O)ccc1O;3-Ethoxy-4-hydroxybenzaldehyde;"<img data-content=""rdkit/molecule"" src=""data:image/png"
3025-30-7;verde;manzana ;ceroso;alto;aromatizante;0.01;0.2784;0.5;CCCCC\C=C/C=C/C(=O)OCC;ethyl (2E,4Z)-deca-2,4-dienoate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
560-32-7;ND;0;0;0;sustancia natural;0.018;0.0642;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
706-14-9;frutal;dulce;mantecoso;medio;aromatizante;0.00512;0.1958;0.3;CCCCCCC1CCC(=O)O1;5-hexyloxolan-2-one;"<img data-content=""rdkit/molecule"" src=""data:image/png"
134-28-1;balsamico;rosa;te;medio;aromatizante;0.000134;0.0179;0.3;C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(C)(C)OC(C)=O;2-[(3S,5R,8S)-3,8-dimethyl-1,2,3,4,5,6,7,8-octahydroazulen-5-yl]propan-2-yl acetate;"<img data-content=""rdkit/molecule"" src=""data:image/png"
351222-66-7;ND;0;0;0;0;0;0.0179;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
508-55-4;ND;0;0;0;sustancia natural;0;0.0195;0.1;C;methane;"<img data-content=""rdkit/molecule"" src=""data:image/png"
